nom,adresse,code_postal,latitude,longitude,region_source,source
SG SMC,"27 SQ ABBE BLAISE, 13080 AIX EN PROVENCE",13080.0,43.4984523,5.4194028,agences-bouches-du-rhone-13,BNP
SG SMC,"15 PL WALDECK-ROUSSEAU, 13540 AIX EN PROVENCE",13540.0,43.5809456,5.4230566,agences-bouches-du-rhone-13,BNP
SG SMC,"16 CRS MIRABEAU, 13100 AIX EN PROVENCE",13100.0,43.5263611,5.447935,agences-bouches-du-rhone-13,BNP
SG SMC,"645 RTE DE BERRE, 13090 AIX EN PROVENCE",13090.0,43.5346566,5.4097265,agences-bouches-du-rhone-13,BNP
SG SMC,"RUE GUILLAUME DU VAIR, 13090 AIX EN PROVENCE",13090.0,43.5082783,5.4086541,agences-bouches-du-rhone-13,BNP
SG SMC,"565 AV MARCELIN BERTHELOT, 13290 AIX EN PROVENCE",13290.0,43.4957387,5.3800833,agences-bouches-du-rhone-13,BNP
SG SMC,"67 CRS GAMBETTA, 13100 AIX EN PROVENCE",13100.0,43.5191482,5.4636024,agences-bouches-du-rhone-13,BNP
SG SMC,"16 CRS SEXTIUS, 13100 AIX EN PROVENCE",13100.0,43.53014,5.4441839,agences-bouches-du-rhone-13,BNP
SG SMC,"31 RUE DE LA REPUBLIQUE, 13200 ARLES",13200.0,43.4149158,4.7363848,agences-bouches-du-rhone-13,BNP
SG SMC,"69 BD EMILE COMBES, 13200 ARLES",13200.0,43.6752357,4.6328424,agences-bouches-du-rhone-13,BNP
SG SMC,"75 BIS AV DE STALINGRAD, 13200 ARLES",13200.0,43.698068,4.6424843,agences-bouches-du-rhone-13,BNP
SG SMC,"1120 RTE DE GEMENOS, 13400 AUBAGNE",13400.0,43.298232,5.5917797,agences-bouches-du-rhone-13,BNP
SG SMC,"12 PROM DU JEUNE ANACHARSIS, 13400 AUBAGNE",13400.0,43.2943507,5.5676053,agences-bouches-du-rhone-13,BNP
SG SMC,"12 AV DE LA LIBERATION, 13130 BERRE L ETANG",13130.0,43.4760329,5.1678458,agences-bouches-du-rhone-13,BNP
SG SMC,"1596 AV DE LA CROIX D'OR, 13320 BOUC BEL AIR",13320.0,43.4597047,5.4052777,agences-bouches-du-rhone-13,BNP
SG SMC,"AV DE CASSIS, 13470 CARNOUX EN PROVENCE",13470.0,43.2507179,5.555244,agences-bouches-du-rhone-13,BNP
SG SMC,"12 AV DRAIO DE LA MAR, 13620 CARRY LE ROUET",13620.0,43.3285271,5.1476925,agences-bouches-du-rhone-13,BNP
SG SMC,"4 PL DE LA REPUBLIQUE, 13260 CASSIS",13260.0,43.2145806,5.5396544,agences-bouches-du-rhone-13,BNP
SG SMC,"2 PL DE LA REPUBLIQUE, 13160 CHATEAURENARD",13160.0,43.8825157,4.8539448,agences-bouches-du-rhone-13,BNP
SG SMC,"1 AV CAMILLE PELLETAN, 13270 FOS SUR MER",13270.0,43.4366908,4.9443292,agences-bouches-du-rhone-13,BNP
SG SMC,"15 CRS FORBIN, 13120 GARDANNE",13120.0,43.4545671,5.4706036,agences-bouches-du-rhone-13,BNP
SG SMC,"IMP DES TEMPLIERS, 13180 GIGNAC LA NERTHE",13180.0,43.3870158,5.2239652,agences-bouches-du-rhone-13,BNP
SG SMC,"CHE DU BORD DE CRAU, 13800 ISTRES",13800.0,43.5258239,4.962391,agences-bouches-du-rhone-13,BNP
SG SMC,"RPT DE LATTRE DE TASSIGNY, 13600 LA CIOTAT",13600.0,43.1896206,5.6035935,agences-bouches-du-rhone-13,BNP
SG SMC,"136 BD GUERIN, 13600 LA CIOTAT",13600.0,43.1743788,5.6054771,agences-bouches-du-rhone-13,BNP
SG SMC,"QUA SOUQUE NEGRE, 13112 LA DESTROUSSE",13112.0,43.3788275,5.5988743,agences-bouches-du-rhone-13,BNP
SG SMC,"39 TRA HERMES, 13580 LA FARE LES OLIVIERS",13580.0,43.5538749,5.2045548,agences-bouches-du-rhone-13,BNP
SG SMC,"3 RTE D'AIX-EN-PROVENCE, 13410 LAMBESC",13410.0,43.6522168,5.2637668,agences-bouches-du-rhone-13,BNP
SG SMC,"1-3 BD DES PLAINES, 13700 MARIGNANE",13700.0,43.4129241,5.2257282,agences-bouches-du-rhone-13,BNP
SG SMC,"159 BD BAILLE, 13005 MARSEILLE",13005.0,43.289792,5.3976602,agences-bouches-du-rhone-13,BNP
SG SMC,"71 AV DE HAMBOURG, 13008 MARSEILLE",13008.0,43.2511365,5.3881981,agences-bouches-du-rhone-13,BNP
SG SMC,"17 LA CANEBIERE, 13001 MARSEILLE",13001.0,43.2961423,5.3765462,agences-bouches-du-rhone-13,BNP
SG SMC,"22 BD CHARLES MORETTI, 13014 MARSEILLE",13014.0,43.3234794,5.3858805,agences-bouches-du-rhone-13,BNP
SG SMC,"264 AV DE LA CAPELETTE, 13010 MARSEILLE",13010.0,43.2787654,5.4124903,agences-bouches-du-rhone-13,BNP
